region,year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
East Asia & Pacific,1960,1029332591.00,402838778.00,586328968.00,40099955.00,,0.00
East Asia & Pacific,1961,1032525146.00,404862024.00,587074050.00,40522412.00,,
East Asia & Pacific,1962,1046593398.00,413516381.00,592101842.00,40906525.00,,
East Asia & Pacific,1963,1071955302.00,427424523.00,603034912.00,41425060.00,,
East Asia & Pacific,1964,1096950582.00,439914619.00,615142711.00,41820211.00,,
East Asia & Pacific,1965,1123000893.00,450790028.00,629922834.00,42212787.00,,0.00
East Asia & Pacific,1966,1152478597.00,464558554.00,643874800.00,43967824.00,,
East Asia & Pacific,1967,1180999725.00,475160603.00,659994483.00,45765089.00,,
East Asia & Pacific,1968,1209920087.00,484348043.00,677908495.00,47581866.00,,
East Asia & Pacific,1969,1242336505.00,494692515.00,698043536.00,49516615.00,,
East Asia & Pacific,1970,1274748959.00,505932456.00,717390342.00,51340071.00,,0.00
East Asia & Pacific,1971,1308108152.00,518817468.00,735672364.00,53529867.00,,
East Asia & Pacific,1972,1339653032.00,530624405.00,753323428.00,55614271.00,,
East Asia & Pacific,1973,1369625613.00,541356776.00,770563323.00,57612125.00,,
East Asia & Pacific,1974,1399420513.00,550432458.00,789177728.00,59714664.00,,
East Asia & Pacific,1975,1426241027.00,556365165.00,807982936.00,61795276.00,,0.00
East Asia & Pacific,1976,1450136722.00,559182482.00,826543353.00,64311589.00,,0.00
East Asia & Pacific,1977,1472701864.00,559576539.00,846155022.00,66869614.00,,0.00
East Asia & Pacific,1978,1495186043.00,558179715.00,867409664.00,69494434.00,,0.00
East Asia & Pacific,1979,1518084597.00,555631287.00,890193387.00,72155490.00,,0.00
East Asia & Pacific,1980,1540537782.00,552130484.00,913526066.00,74773545.00,,0.00
East Asia & Pacific,1981,1563837291.00,546852320.00,939034857.00,77837985.00,,13275.00
East Asia & Pacific,1982,1589434971.00,542935095.00,965522339.00,80859945.00,,19804.00
East Asia & Pacific,1983,1615033204.00,539265818.00,991875298.00,83768253.00,,27198.00
East Asia & Pacific,1984,1639381760.00,535255884.00,1017470214.00,86525203.00,,43142.00
East Asia & Pacific,1985,1664314252.00,531763897.00,1043173660.00,89239506.00,,68229.00
East Asia & Pacific,1986,1690814873.00,532073486.00,1066583830.00,92013626.00,,128390.00
East Asia & Pacific,1987,1718712664.00,533059952.00,1090754428.00,94747590.00,,226225.00
East Asia & Pacific,1988,1746868000.00,534611884.00,1114622940.00,97475805.00,,424070.00
East Asia & Pacific,1989,1774403157.00,536377373.00,1137561736.00,100300172.00,,871637.00
East Asia & Pacific,1990,1801239448.00,537955348.00,1159781466.00,103332511.00,,1563028.00
East Asia & Pacific,1991,1827076239.00,542672403.00,1177749219.00,106478636.00,,2548507.00
East Asia & Pacific,1992,1851191266.00,544274934.00,1196868153.00,109866742.00,,3672393.00
East Asia & Pacific,1993,1874457643.00,544187545.00,1216605431.00,113478080.00,,5491192.00
East Asia & Pacific,1994,1897745293.00,544106413.00,1236199635.00,117247628.00,,10668663.00
East Asia & Pacific,1995,1920650801.00,544394191.00,1254961961.00,121098034.00,,23827872.00
East Asia & Pacific,1996,1943194062.00,539501011.00,1277739091.00,125752286.00,,48314554.00
East Asia & Pacific,1997,1965165860.00,537073991.00,1297690422.00,130194831.00,,73389026.00
East Asia & Pacific,1998,1986304149.00,534974680.00,1316589218.00,134529066.00,67000.00,102637735.00
East Asia & Pacific,1999,2006085318.00,530299365.00,1336721584.00,138849494.00,610467.00,148368565.00
East Asia & Pacific,2000,2024966220.00,522182317.00,1359327610.00,143238882.00,5273154.00,216988588.00
East Asia & Pacific,2001,2043180717.00,514466262.00,1380716921.00,147778819.00,13041055.00,306828415.00
East Asia & Pacific,2002,2060490348.00,503907145.00,1404084015.00,152280253.00,24812269.00,401253129.00
East Asia & Pacific,2003,2076982607.00,491673337.00,1428394932.00,156696122.00,39882555.00,496543906.00
East Asia & Pacific,2004,2092909766.00,480078650.00,1451726197.00,160888108.00,60392394.00,607240242.00
East Asia & Pacific,2005,2108632076.00,470472725.00,1473065326.00,164879060.00,79082905.00,708232332.00
East Asia & Pacific,2006,2124205456.00,463150257.00,1491777490.00,169065044.00,101066386.00,829555393.00
East Asia & Pacific,2007,2139185398.00,456927205.00,1508966307.00,173081898.00,118209285.00,1021411806.00
East Asia & Pacific,2008,2154423413.00,452290231.00,1524777480.00,177148410.00,145462617.00,1226960226.00
East Asia & Pacific,2009,2169272952.00,449042993.00,1538598259.00,181426667.00,174030685.00,1408304790.00
East Asia & Pacific,2010,2184016891.00,447079075.00,1550590494.00,186143810.00,199446375.00,1614296061.00
East Asia & Pacific,2011,2198754234.00,446239675.00,1560904458.00,191407169.00,235668515.00,1839584818.00
East Asia & Pacific,2012,2213820761.00,446918210.00,1569737521.00,196961654.00,258038385.00,2042197318.00
East Asia & Pacific,2013,2228966372.00,448601948.00,1577098220.00,203061507.00,275195629.00,2208381630.00
East Asia & Pacific,2014,2244353316.00,450504626.00,1583514563.00,210127470.00,290594461.00,2340665183.00
East Asia & Pacific,2015,2259645673.00,452041695.00,1589034088.00,218361779.00,374253025.00,2373545598.00
East Asia & Pacific,2016,2275219229.00,453990737.00,1593166748.00,227852407.00,426607161.12,2525719635.00
Europe & Central Asia,1960,660528964.00,185089166.00,418805839.00,55480206.00,,0.00
Europe & Central Asia,1961,668207573.00,188342561.00,421824007.00,56864255.00,,
